startPoint	0	0	0	0	0	0	0
Lhasa	1	0	50000	5000	15000	25000	100000
Marrakech	2	0	80000	8000	24000	40000	160000
Petra	3	0	130000	13000	39000	65000	260000
Jerusalem	4	0	140000	14000	42000	70000	280000
Beijing	5	0	170000	17000	51000	85000	340000
Lalibela	6	0	190000	19000	57000	95000	380000
Venice	7	0	200000	20000	60000	100000	400000
1	8	0	0	0	0	0	0
Seville	8	1	210000	21000	63000	105000	420000
Havana	8	2	220000	22000	66000	110000	440000
Athens	8	3	240000	24000	72000	120000	480000
Kathmandu	8	4	240000	24000	72000	120000	480000
Hoian	8	5	260000	26000	78000	130000	520000
Luxor	8	6	270000	27000	81000	135000	540000
Jaipur	8	7	270000	27000	81000	135000	540000
2	8	8	0	0	0	0	0
RiodeJaneiro	7	8	300000	30000	90000	150000	600000
Lisbon	6	8	20000	32000	96000	160000	640000
Amsterdam	5	8	320000	32000	96000	160000	640000
Berlin	4	8	350000	35000	105000	175000	700000
Vienna	3	8	350000	35000	105000	175000	700000
Cuzco	2	8	360000	36000	108000	180000	720000
Cartagena	1	8	380000	38000	114000	190000	760000
3	0	2	0	0	0	0	0
NewYork	0	7	410000	41000	123000	205000	820000
London	0	6	430000	43000	129000	215000	860000
Lyon	0	5	430000	43000	129000	215000	860000
Sydney	0	4	460000	46000	138000	230000	920000
Prague	0	3	470000	47000	141000	235000	940000
Vatican	0	2	480000	48000	144000	240000	960000
Jochiwon	0	1	490000	49000	147000	245000	980000
